year,industry,growth_rate
2021,Food & Beverage,700
2021,Food & Beverage,1100
2021,Food & Beverage,700
2021,Food & Beverage,600
2022,Food & Beverage,1600
2022,Food & Beverage,600
2022,Food & Beverage,700
2022,Food & Beverage,700
2022,Food & Beverage,1200
2022,Food & Beverage,600
2022,Food & Beverage,1300
2022,Food & Beverage,800
2022,Food & Beverage,600
2022,Food & Beverage,700
2022,Food & Beverage,1200
2022,Food & Beverage,1200
2022,Food & Beverage,700
2010,Fuel & Gasoline,700
2010,Fuel & Gasoline,900
2010,Fuel & Gasoline,600
2010,Fuel & Gasoline,1600
2010,Fuel & Gasoline,1900
2010,Fuel & Gasoline,1800
2010,Fuel & Gasoline,1800
2010,Fuel & Gasoline,1700
2010,Fuel & Gasoline,1400
2010,Fuel & Gasoline,1200
2010,Fuel & Gasoline,1100
2011,Fuel & Gasoline,700
2011,Fuel & Gasoline,1100
2011,Fuel & Gasoline,900
2011,Fuel & Gasoline,1300
2011,Fuel & Gasoline,1300
2011,Fuel & Gasoline,700
2011,Fuel & Gasoline,700
2011,Fuel & Gasoline,1900
2011,Fuel & Gasoline,2000
2011,Fuel & Gasoline,2200
2011,Fuel & Gasoline,1700
2011,Fuel & Gasoline,1000
2012,Fuel & Gasoline,1300
2012,Fuel & Gasoline,1100
2012,Fuel & Gasoline,1300
2012,Fuel & Gasoline,1200
2012,Fuel & Gasoline,1600
2012,Fuel & Gasoline,900
2012,Fuel & Gasoline,2300
2012,Fuel & Gasoline,1900
2012,Fuel & Gasoline,2300
2012,Fuel & Gasoline,1900
2012,Fuel & Gasoline,1500
2012,Fuel & Gasoline,1000
2013,Fuel & Gasoline,1100
2013,Fuel & Gasoline,1000
2013,Fuel & Gasoline,700
2013,Fuel & Gasoline,1400
2013,Fuel & Gasoline,2100
2013,Fuel & Gasoline,2300
2013,Fuel & Gasoline,2600
2013,Fuel & Gasoline,2400
2013,Fuel & Gasoline,2000
2013,Fuel & Gasoline,1000
2013,Fuel & Gasoline,1300
2013,Fuel & Gasoline,800
2014,Fuel & Gasoline,800
2014,Fuel & Gasoline,2000
2014,Fuel & Gasoline,2300
2014,Fuel & Gasoline,2100
2014,Fuel & Gasoline,1300
2014,Fuel & Gasoline,1000
2014,Fuel & Gasoline,1000
2014,Fuel & Gasoline,2400
2014,Fuel & Gasoline,1900
2014,Fuel & Gasoline,1200
2014,Fuel & Gasoline,600
2014,Fuel & Gasoline,700
2015,Fuel & Gasoline,400
2015,Fuel & Gasoline,1300
2015,Fuel & Gasoline,1200
2015,Fuel & Gasoline,1500
2015,Fuel & Gasoline,2200
2015,Fuel & Gasoline,2500
2015,Fuel & Gasoline,2400
2015,Fuel & Gasoline,1800
2015,Fuel & Gasoline,500
2015,Fuel & Gasoline,700
2015,Fuel & Gasoline,1900
2015,Fuel & Gasoline,800
2016,Fuel & Gasoline,1300
2016,Fuel & Gasoline,900
2016,Fuel & Gasoline,1500
2016,Fuel & Gasoline,1400
2016,Fuel & Gasoline,2200
2016,Fuel & Gasoline,2700
2016,Fuel & Gasoline,2500
2016,Fuel & Gasoline,2400
2016,Fuel & Gasoline,1700
2016,Fuel & Gasoline,800
2016,Fuel & Gasoline,1300
2016,Fuel & Gasoline,900
2017,Fuel & Gasoline,1400
2017,Fuel & Gasoline,1100
2017,Fuel & Gasoline,800
2017,Fuel & Gasoline,1600
2017,Fuel & Gasoline,2100
2017,Fuel & Gasoline,2200
2017,Fuel & Gasoline,2300
2017,Fuel & Gasoline,2700
2017,Fuel & Gasoline,1900
2017,Fuel & Gasoline,1000
2017,Fuel & Gasoline,1500
2017,Fuel & Gasoline,900
2018,Fuel & Gasoline,1000
2018,Fuel & Gasoline,1300
2018,Fuel & Gasoline,900
2018,Fuel & Gasoline,900
2018,Fuel & Gasoline,2100
2018,Fuel & Gasoline,2400
2018,Fuel & Gasoline,2100
2018,Fuel & Gasoline,2500
2018,Fuel & Gasoline,1800
2018,Fuel & Gasoline,1200
2018,Fuel & Gasoline,1000
2018,Fuel & Gasoline,900
2019,Fuel & Gasoline,600
2019,Fuel & Gasoline,1100
2019,Fuel & Gasoline,900
2019,Fuel & Gasoline,1500
2019,Fuel & Gasoline,2100
2019,Fuel & Gasoline,2200
2019,Fuel & Gasoline,2500
2019,Fuel & Gasoline,2400
2019,Fuel & Gasoline,1800
2019,Fuel & Gasoline,1000
2019,Fuel & Gasoline,1200
2019,Fuel & Gasoline,800
2020,Fuel & Gasoline,600
